,img,Keypoint_RCNN_0_5_sec_persons_50%
0,101.jpg,15
1,104.jpg,14
2,0.jpg,14
3,1.jpg,14
4,100.jpg,13
5,102.jpg,14
6,103.jpg,16
7,10.jpg,15
8,105.jpg,14
9,109.jpg,15
10,11.jpg,15
11,106.jpg,15
12,108.jpg,15
13,107.jpg,15
14,12.jpg,14
15,13.jpg,15
16,14.jpg,16
17,110.jpg,15
18,15.jpg,14
19,23.jpg,15
20,17.jpg,15
21,2.jpg,13
22,16.jpg,15
23,22.jpg,14
24,20.jpg,12
25,21.jpg,13
26,18.jpg,13
27,19.jpg,14
28,24.jpg,15
29,29.jpg,13
30,25.jpg,17
31,27.jpg,15
32,3.jpg,13
33,30.jpg,13
34,26.jpg,15
35,28.jpg,15
36,32.jpg,16
37,31.jpg,15
38,33.jpg,14
39,39.jpg,14
40,34.jpg,14
41,37.jpg,13
42,40.jpg,14
43,36.jpg,16
44,4.jpg,14
45,38.jpg,15
46,35.jpg,15
47,41.jpg,16
48,42.jpg,14
49,49.jpg,15
50,48.jpg,14
51,45.jpg,14
52,5.jpg,15
53,47.jpg,13
54,43.jpg,13
55,46.jpg,13
56,44.jpg,14
57,50.jpg,13
58,51.jpg,15
59,57.jpg,13
60,53.jpg,15
61,54.jpg,13
62,55.jpg,13
63,52.jpg,14
64,56.jpg,15
65,59.jpg,12
66,6.jpg,15
67,58.jpg,14
68,60.jpg,13
69,63.jpg,14
70,62.jpg,12
71,61.jpg,12
72,65.jpg,13
73,64.jpg,13
74,68.jpg,15
75,67.jpg,14
76,69.jpg,15
77,66.jpg,14
78,7.jpg,14
79,71.jpg,13
80,70.jpg,15
81,72.jpg,13
82,73.jpg,15
83,76.jpg,13
84,75.jpg,14
85,78.jpg,14
86,77.jpg,14
87,74.jpg,13
88,79.jpg,13
89,81.jpg,14
90,82.jpg,14
91,84.jpg,13
92,85.jpg,13
93,80.jpg,13
94,83.jpg,13
95,8.jpg,14
96,86.jpg,13
97,87.jpg,14
98,88.jpg,13
99,95.jpg,13
100,9.jpg,15
101,90.jpg,14
102,91.jpg,15
103,92.jpg,14
104,94.jpg,14
105,89.jpg,13
106,93.jpg,14
107,96.jpg,13
108,97.jpg,13
109,98.jpg,14
110,99.jpg,13
