Column1;img;Keypoint_RCNN_persons_50%
0;0.jpg;16
1;1.jpg;18
2;2.jpg;17
3;8.jpg;14
4;7.jpg;13
5;9.jpg;16
6;6.jpg;18
7;5.jpg;15
8;3.jpg;15
9;4.jpg;14
10;10.jpg;13
11;11.jpg;10
12;12.jpg;10
13;16.jpg;10
14;15.jpg;10
15;17.jpg;10
16;14.jpg;10
17;19.jpg;10
18;18.jpg;11
19;13.jpg;10
20;20.jpg;12
21;21.jpg;11
22;22.jpg;11
23;28.jpg;10
24;23.jpg;14
25;25.jpg;12
26;27.jpg;12
27;26.jpg;12
28;24.jpg;11
29;29.jpg;9
30;30.jpg;11
31;31.jpg;12
32;37.jpg;14
33;33.jpg;12
34;34.jpg;10
35;35.jpg;10
36;32.jpg;11
37;38.jpg;13
38;36.jpg;15
39;39.jpg;13
40;40.jpg;12
41;41.jpg;11
42;49.jpg;17
43;50.jpg;19
44;44.jpg;11
45;42.jpg;15
46;46.jpg;15
47;43.jpg;8
48;47.jpg;17
49;48.jpg;15
50;45.jpg;14
51;51.jpg;17
52;53.jpg;13
53;52.jpg;15
54;55.jpg;20
55;57.jpg;15
56;59.jpg;14
57;60.jpg;17
58;58.jpg;14
59;54.jpg;17
60;56.jpg;19
61;61.jpg;20
62;62.jpg;12
63;63.jpg;13
64;64.jpg;14
65;65.jpg;15
66;73.jpg;13
67;74.jpg;13
68;66.jpg;11
69;69.jpg;13
70;67.jpg;12
71;68.jpg;15
72;72.jpg;15
73;71.jpg;11
74;70.jpg;12
75;75.jpg;11
76;76.jpg;10
77;77.jpg;11
78;87.jpg;11
79;86.jpg;8
80;83.jpg;10
81;80.jpg;12
82;82.jpg;11
83;81.jpg;10
84;79.jpg;12
85;78.jpg;9
86;84.jpg;14
87;89.jpg;12
88;88.jpg;12
89;90.jpg;12
90;98.jpg;10
91;99.jpg;11
92;92.jpg;12
93;94.jpg;12
94;96.jpg;11
95;93.jpg;11
96;95.jpg;10
97;97.jpg;11
98;91.jpg;11
99;102.jpg;11
100;101.jpg;13
101;111.jpg;13
102;103.jpg;9
103;112.jpg;11
104;104.jpg;10
105;108.jpg;12
106;110.jpg;12
107;105.jpg;11
108;106.jpg;12
109;107.jpg;13
110;109.jpg;11
111;115.jpg;6
112;114.jpg;8
113;113.jpg;13
114;120.jpg;7
115;121.jpg;6
116;117.jpg;5
117;118.jpg;5
118;116.jpg;10
119;122.jpg;6
120;119.jpg;6
121;123.jpg;6
122;124.jpg;6
123;125.jpg;5
124;134.jpg;16
125;135.jpg;13
126;131.jpg;15
127;130.jpg;14
128;128.jpg;17
129;133.jpg;15
130;129.jpg;13
131;132.jpg;16
132;127.jpg;16
133;136.jpg;14
134;137.jpg;16
135;138.jpg;13
136;139.jpg;12
137;140.jpg;14
138;148.jpg;14
139;149.jpg;13
140;141.jpg;14
141;146.jpg;12
142;144.jpg;13
143;145.jpg;12
144;142.jpg;17
145;143.jpg;12
146;147.jpg;14
147;150.jpg;13
148;151.jpg;15
149;152.jpg;12
150;153.jpg;14
151;154.jpg;13
152;155.jpg;10
153;156.jpg;12
154;164.jpg;13
155;165.jpg;9
156;157.jpg;9
157;160.jpg;10
158;158.jpg;11
159;162.jpg;11
160;159.jpg;13
161;161.jpg;10
162;163.jpg;13
163;166.jpg;14
164;167.jpg;11
165;168.jpg;14
166;169.jpg;14
167;170.jpg;14
168;179.jpg;11
169;178.jpg;13
170;177.jpg;13
171;173.jpg;15
172;174.jpg;13
173;175.jpg;10
174;176.jpg;11
175;171.jpg;13
176;172.jpg;14
177;180.jpg;11
178;181.jpg;10
179;182.jpg;9
180;183.jpg;9
181;184.jpg;12
182;192.jpg;8
183;193.jpg;8
184;189.jpg;9
185;188.jpg;6
186;185.jpg;10
187;187.jpg;11
188;186.jpg;10
189;191.jpg;8
190;190.jpg;8
191;194.jpg;8
192;195.jpg;8
193;196.jpg;8
194;197.jpg;9
195;198.jpg;9
196;206.jpg;9
197;207.jpg;10
198;203.jpg;9
199;200.jpg;8
200;201.jpg;8
201;202.jpg;10
202;199.jpg;7
203;204.jpg;10
204;208.jpg;12
205;209.jpg;12
206;210.jpg;10
207;211.jpg;12
208;205.jpg;11
209;212.jpg;10
210;213.jpg;12
211;214.jpg;11
212;222.jpg;9
213;223.jpg;10
214;220.jpg;9
215;215.jpg;11
216;217.jpg;11
217;218.jpg;11
218;216.jpg;11
219;219.jpg;10
220;224.jpg;10
221;225.jpg;10
222;221.jpg;11
223;226.jpg;8
224;227.jpg;12
225;228.jpg;7
226;236.jpg;5
227;237.jpg;7
228;233.jpg;6
229;230.jpg;7
230;235.jpg;5
231;229.jpg;9
232;231.jpg;7
233;234.jpg;8
234;232.jpg;7
235;238.jpg;8
236;239.jpg;8
237;240.jpg;7
238;241.jpg;6
