Город;Население;Площадь, кв. км.;Плотность населения;Количество преступлений в год;Шанс стать жертвой преступления;Год основания;Количество парков;Индекс доступности рекреационных зон;Индекс Загрязнения;Средняя зарплата;Средние расходы;Условнопотребительская корзина(данные Госстата в региональном разрезе);Средняя стоимость жилья эконом класса на вторичном рынке, тыс $ domik.ua;Средняя стоимость однокомнатной квартиры в новострое, $ тыс. domik.ua;Средняя стоимость аренды однокомнатной квартиры , тыс. грн / мес domik.ua;Занятость населения трудоспособного возраста, %. Данные госстата в региональном разделе;"Количество школ в городе, которые вошли в топ-100 лучших щшкол журнала ""Фокус""";"Количество вузов в городе, которые вошли в рейтинг вузов ""Топ-200 Украина""";"Инвестиционная привлекательность города. Расчет рейтингово агенства ""Евро-рейтинг"".";"Данные муниципального опроса соц группы ""Рейтинг"" по качеству муниципальных услуг и городской инфраструктуры, баллы по 5 бальной шкале";"Данные муниципального опроса соц группы ""Рейтинг"" по удовлетворенности население работой мера города, баллы по 5 бальной шкале";Количество авиасообщений (подсчеты Фокуса);Количество ж/д сообщений (данные Укрзализницы);Количество проходящих через город трасс международного значения (подсчеты Фокуса);Загрязненность воздуха. Выбросы (в килограммах) основных загрязненных веществ в атмосферу за 2017 год. В пересчете на одного проживающего на территории города человека. Данные Госстата;Уровень опасных отходо. Количество (в килограммах) опасных отходов I-III классов в 2017 году. В пересчете на одного проживающего на территории города человека.
Луцк;213950;42;0,2;1525;0,71;1388;5;4,28;12,2;11528;6525,0744;809;11;20;2,8;56,1;5;2;175;3,3;27;0;7;1;0,77;0,21
Днепр;966400;405;0,42;13327;1,38;1776;8;12,08;11,8;13244;9549,2124;846;23;30;3,8;67,7;6;14;201;3;53;9;17;1;1,64;0,45
Житомир;266106;65;0,24;4950;1,86;884;6;4,44;3,5;11211;4506,9024;806;14;21;2,5;63,9;0;3;138;3,1;44;0;3;2;0,9;0,25
Ужгород;112447;40;0,36;1933;1,72;872;4;2,81;6,5;12930;8611,2468;866;15,5;20;2,5;60,6;0;2;144;2,8;25;0;9;3;1,39;0,38
Запорожье;746749;334;0,45;23478;3,14;1770;7;10,67;7,2;13566;6918,405;835;14;28;2,5;64,9;4;6;165;2,9;40;12;18;1;1,75;0,48
Ивано-Франковск;230507;84;0,36;3773;1,64;1662;23;1;3,4;10834;7789,7898;822;14,5;24;3;60,3;2;4;157;3,1;73;3;13;0;2,05;0,56
Киев;2884000;839;0,29;76282;2,65;750;36;8,01;10;16546;13187,162;926;33;52;9;68,3;39;40;193;3;41;95;80;3;1,15;0,32
Кропивницкий;226491;103;0,45;5400;2,38;1784;2;11,32;4,4;10647;7058,961;817;15;21;2,5;62,4;2;2;145;2,9;42;0;6;2;1,78;0,49
Львов;721301;182;0,25;16763;2,32;1256;15;4,81;6,8;11924;9312,3316;816;22;38;4,8;64,8;10;13;178;3,1;53;34;43;4;1,04;0,29
Николаев;486267;260;0,53;7435;1,53;1789;2;24,31;9,9;13256;10379,5263;823;16;20;2,5;66,2;1;4;126;2,9;23;0;8;1;2,04;0,56
Одесса;993120;162;0,16;17568;1,77;1794;21;4,73;13,1;15033;10568,3396;877;30;42;6;65,3;2;15;187;2,9;68;22;18;3;0,93;0,26
Полтава;284942;103;0,36;6645;2,33;899;11;2,59;5,2;13004;8725,6169;842,5;13;21;2,5;63,8;4;5;225;2,9;23;0;16;2;1,53;0,42
Ровно;243934;63;0,26;4376;1,79;1283;3;8,13;6,8;12425;6001,4682;799;15;22;3,2;57,8;3;3;147;3,1;33;0;10;1;1,01;0,28
Сумы;264753;95;0,36;3995;1,51;1652;3;8,83;5,7;10990;6923,826;838;13,5;16,5;3,2;65,6;1;3;125;2,9;40;0;7;0;2,16;0,6
Тернополь;216384;72;0,33;896;0,41;1540;7;3,09;3,5;10799;8239,7133;772;19;25;2,8;58,4;2;4;135;3,2;54;0;19;2;1,31;0,36
Харьков;1419000;350;0,25;30594;2,16;1654;14;10,14;3,3;11794;5873,2128;846;25;36;4,5;71;8;26;204;3,3;75;19;29;4;0,96;0,27
Херсон;289697;136;0,47;4786;1,65;1778;6;4,83;5,6;11044;9828,715;850;13;17;2,8;66,3;2;4;175;2,7;24;4;8;2;0,88;0,24
Хмельницкий;265693;90;0,34;58;0,02;1431;3;8,86;4,4;11669;4994,2464;825;11;22;2,5;63,2;1;3;131;3,1;58;0;27;1;1,37;0,38
Черкассы;279074;78;0,28;1931;0,69;1284;2;13,95;3,4;11216;4912,7832;829;14;20;2,8;67,5;3;2;141;3;54;0;4;0;0,97;0,27
Чернигов;285821;79;0,28;1886;0,66;907;2;14,29;3,4;11733;5455,6125;823;11;18;2,5;65,6;0;2;150;3,1;70;0;4;1;1,07;0,3
Черновцы;262276;153;0,58;1311;0,5;1408;5;5,25;2,9;10407;7118,046;837;20;30;3;58;1;2;103;2,7;30;3;5;1;2,28;0,63
Винница;370834;113;0,31;5792;1,56;1362;5;7,42;4,4;12032;7772,349;816;18;25;3,5;63,9;0;4;183;3,6;68;4;34;2;1,2;0,33
