School;base_branches;hourly_branches;countries;sities;courses;age_3-5;age_6-10;age_11-16;age_16+;franchize;expert_mark
Robot School;4;3;1;3;15;yes;yes;yes;no;yes;6
Inventor;29;0;2;15;20;yes;yes;yes;no;yes;10
Boteon;0;23;1;11;6;no;yes;yes;no;yes;8
IT STEP;44;0;15;44;10;no;yes;yes;no;no;9
RoboCode;0;45;3;18;9;no;yes;yes;no;yes;7
RoboUA;3;2;1;1;6;yes;yes;yes;no;no;6
Kid_IT;3;18;1;14;7;no;yes;no;no;yes;7
Techno-KIDS;3;0;1;1;6;yes;yes;yes;no;no;5
Future Profession Academy;2;4;1;1;25;yes;yes;yes;no;yes;5
Atom Space;1;0;1;1;4;no;no;yes;yes;no;3
BroBots;1;0;1;1;12;no;yes;yes;no;no;2
IT2School;1;0;1;1;6;no;no;yes;no;no;2
Sphere;1;0;1;1;46;yes;yes;yes;no;no;4
BRAINY;1;1;1;1;11;yes;yes;yes;no;no;4
GeekSchool;1;0;1;1;7;no;yes;yes;yes;no;2
GoITeens;1;0;1;1;4;no;no;yes;no;no;2
Hillel;1;0;1;1;3;no;no;yes;no;no;2
Infopulse Univer;1;0;1;1;4;no;no;yes;no;no;1
IT Academy Contact;1;1;1;1;7;no;yes;yes;no;no;1
IntRobots;1;0;1;1;4;no;yes;yes;no;no;2
IT Education Academy;4;0;2;4;3;no;yes;no;no;yes;6
IT Future School;3;2;1;3;13;no;yes;yes;no;no;5
IT Univer;1;0;1;1;16;no;yes;yes;no;no;2
IT Development;2;0;1;1;4;no;no;yes;no;no;3
IT School.Che;1;0;1;1;8;no;yes;yes;no;no;3
Junior IT;2;0;1;1;18;no;yes;yes;no;no;4
Kids Code;3;0;1;2;24;yes;yes;yes;no;no;5
LITS;3;0;1;3;5;no;no;yes;no;no;5
Logos KIDS Academy;1;0;1;1;10;no;yes;yes;no;no;4
ORT Dnepr;1;0;1;1;2;no;no;yes;no;no;2
RoboCamp;5;0;1;4;10;yes;yes;yes;no;yes;6
Robo.House;0;18;1;6;8;yes;yes;yes;no;yes;7
Streamline;0;3;1;1;18;no;yes;yes;no;no;2
Vinnytsia IT School;1;0;1;1;9;no;yes;yes;no;no;2
Itshka;1;0;1;1;14;yes;yes;yes;no;no;3
Impuls;1;0;1;1;3;no;yes;yes;no;no;2
RoboclubIF;1;0;1;1;5;no;yes;yes;no;no;2
