video;mean;median;people
1;12.681818181818182;13.0;13
6;9.807692307692308;10.0;10
7;8.625;9.0;9
8;10.022222222222222;10.0;10
9;11.076923076923077;11.0;11
10;5.72;6.0;6
11;11.84;12.0;12
13;9.076923076923077;9.0;10
14;10.26923076923077;10.0;10
22;9.64;10.0;10
23;8.423076923076923;9.0;9
24;8.333333333333334;8.0;8
25;7.5;7.5;8
28;7.217391304347826;7.0;7
29;7.458333333333333;7.0;7
30;5.777777777777778;6.0;6
31;10.48;11.0;11
32;8.894736842105264;9.0;9
33;8.666666666666666;9.0;9
34;9.2;9.0;9
35;9.08695652173913;9.0;9
36;8.5;8.0;9
37;8.64;9.0;9
38;8.565217391304348;9.0;9
40;5.28;5.0;5
42;9.08;9.0;9
43;11.8;12.0;12
45;8.56;9.0;9
46;9.055555555555555;9.0;9
47;7.653846153846154;8.0;8
48;7.416666666666667;7.0;8
49;7.115384615384615;7.0;7
50;9.217391304347826;9.0;8
51;7.583333333333333;7.5;8
52;8.0;8.0;9
53;7.8076923076923075;8.0;9
54;6.36;6.0;8
55;7.8076923076923075;8.0;9
56;6.35;6.0;6
58;9.1875;9.0;9
59;9.2;9.0;9
60;9.28;9.0;9
61;8.192307692307692;8.0;9
62;8.6;9.0;9
64;6.884615384615385;7.0;7
65;7.8076923076923075;8.0;8
66;5.769230769230769;6.0;6
67;5.769230769230769;6.0;6
69;7.55;8.0;8
70;7.142857142857143;7.0;8
73;9.666666666666666;10.0;10
74;8.28;8.0;8
75;8.9375;9.0;9
76;7.64;8.0;7
77;8.85;9.0;9
78;9.384615384615385;9.0;9
79;6.041666666666667;6.0;6
80;8.0;8.0;9
81;9.48;10.0;9
82;8.481481481481481;8.0;8
83;7.923076923076923;8.0;8
84;7.352941176470588;7.0;7
85;9.23076923076923;9.0;9
86;8.142857142857142;8.0;8
87;9.23076923076923;9.0;9
88;9.23076923076923;9.0;9
89;9.44;9.0;9
93;4.52;5.0;5
94;2.948717948717949;3.0;3
95;5.9375;6.0;6
96;6.76;7.0;7
97;9.68;10.0;10
98;9.55;10.0;10
99;8.434782608695652;8.0;9
100;6.923076923076923;7.0;7
101;8.5;8.0;9
102;8.73076923076923;9.0;9
103;9.68;10.0;9
105;9.2;9.0;9
106;9.789473684210526;10.0;10
107;9.789473684210526;10.0;10
109;10.7;11.0;11
110;10.8;11.0;11
111;8.8;9.0;9
113;10.666666666666666;11.0;11
114;10.961538461538462;11.0;11
115;8.4;8.0;9
118;7.125;7.0;8
119;10.0;10.0;9
120;8.045454545454545;8.0;8
121;9.6;10.0;10
122;10.076923076923077;10.0;11
123;11.458333333333334;12.0;12
127;8.782608695652174;9.0;10
128;11.434782608695652;12.0;11
129;10.307692307692308;10.0;10
130;11.166666666666666;11.0;11
131;11.12;11.0;11
133;10.68;11.0;11
134;10.541666666666666;11.0;11
137;9.576923076923077;9.0;10
138;9.666666666666666;9.0;10
139;10.777777777777779;11.0;11
140;10.2;10.0;10
141;6.05;6.0;6
142;8.4;8.0;8
143;9.72;10.0;10
144;10.2;10.0;9
145;9.153846153846153;9.0;9
146;12.727272727272727;13.0;12
147;13.04;13.0;13
148;13.434782608695652;13.0;13
149;13.181818181818182;13.0;13
152;6.65;7.0;7
153;6.518518518518518;7.0;7
154;6.576923076923077;7.0;7
158;8.23076923076923;8.0;9
159;7.5;7.5;8
160;6.0;6.0;6
161;5.75;6.0;6
162;6.375;6.0;7
163;6.52;6.0;6
